user,submissions
roger-bell-west,5429
abigail,2859
ulrich-rieke,2724
arne-sommer,2385
paulo-custodio,2116
deadmarshal,1755
lubos-kolouch,1661
tyler-wardhaugh,1598
laurent-rosenfeld,1543
jaldhar-h-vyas,1486
luca-ferrari,1378
athanasius,1311
sgreen,1051
duncan-c-white,1018
packy-anderson,1014
zapwai,993
pokgopun,851
jo-37,830
e-choroba,794
feng-chang,791
